CITIES,INDIC_UR\TIME	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Swansea,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	223,302	:	:	225,500 be	:	:	:	230,100 de	:	236,500 be	239,023 bd	239,200 be	240,000 e	240,800 e	241,840	243,448	244,971 b	245,973	:
Derby,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	221,700	:	:	233,700 be	:	:	:	243,200 de	:	245,500 be	248,752 bd	249,800 be	251,000 e	251,900 e	253,357	255,242	256,619 b	257,104	:
Barnsley,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	218,074	:	:	221,000 be	:	:	:	225,200 de	:	229,500 be	231,221 bd	232,800 be	234,700 e	236,800 e	238,581	240,269	242,594 b	244,270	:
Southampton,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	217,450	:	:	221,200 be	:	:	:	234,100 de	:	231,600 be	236,882 bd	237,600 be	240,800 e	243,700 e	247,414	251,906	251,368 b	252,578	:
Southampton,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	376,366	381,237	381,390 b	383,736	:
Oldham,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	217,262	:	:	218,300 be	:	:	:	218,200 de	:	223,300 be	224,897 bd	225,500 be	226,600 e	228,000 e	229,794	231,774	233,054 b	234,691	:
Salford,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	216,102	:	:	216,400 be	:	:	:	223,000 de	:	230,400 be	233,933 bd	235,800 be	238,000 e	240,500 e	243,827	247,170	249,727 b	252,870	:
Tameside,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	213,026	:	:	213,700 be	:	:	:	214,400 de	:	218,100 be	219,324 bd	220,000 be	220,400 e	220,700 e	221,232	222,441	223,614 b	224,658	:
Trafford,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	210,160	:	:	212,700 be	:	:	:	213,700 de	:	224,100 be	226,578 bd	227,800 be	229,300 e	231,300 e	232,873	233,981	234,852 b	235,932	:
Milton Keynes,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	207,060	:	:	216,700 be	:	:	:	232,900 de	:	242,800 be	248,821 bd	251,100 be	254,000 e	257,500 e	260,504	263,121	266,881 b	268,064	:
Rochdale,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	205,360	:	:	206,500 be	:	:	:	204,400 de	:	210,500 be	211,699 bd	212,000 be	212,100 e	212,500 e	213,579	215,180	217,405 b	219,230	:
Solihull,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	199,518	:	:	200,400 be	:	:	:	204,300 de	:	205,900 be	206,674 bd	207,100 be	208,100 e	209,400 e	210,168	211,104	213,050 b	214,421	:
Northampton,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	194,463	:	:	194,800 be	:	:	:	208,800 de	:	209,000 be	212,069 bd	213,500 be	215,700 e	218,100 e	220,979	223,968	225,078 b	225,401	:
North Tyneside,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	191,661	:	:	190,700 be	:	:	:	196,000 de	:	199,600 be	200,801 bd	201,300 be	201,800 e	202,400 e	202,619	202,901	204,024 b	205,229	:
Gateshead,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	191,142	:	:	191,300 be	:	:	:	189,900 de	:	198,100 be	200,214 bd	200,300 be	200,100 e	200,300 e	200,751	201,294	202,524 b	202,464	:
Warrington,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	191,086	:	:	193,700 be	:	:	:	196,200 de	:	200,700 be	202,228 bd	203,200 be	204,400 e	205,800 e	207,062	208,252	209,339 b	209,626	:
Luton,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	184,367	:	:	184,000 be	:	:	:	190,500 de	:	197,500 be	203,201 bd	204,700 be	206,900 e	209,500 e	212,836	215,751	215,286 b	214,384	:
York,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	181,096	:	:	184,900 be	:	:	:	194,900 de	:	193,700 be	198,051 bd	198,900 be	201,200 e	203,400 e	205,648	207,612	207,542 b	209,028	:
Bury,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	180,604	:	:	182,100 be	:	:	:	181,600 de	:	184,300 be	185,060 bd	185,800 be	186,400 e	187,000 e	187,679	188,277	189,066 b	189,868	:
Swindon,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	180,046	:	:	182,200 be	:	:	:	196,000 de	:	205,700 be	209,156 bd	210,800 be	213,000 e	214,900 e	216,480	217,533	219,472 b	221,180	:
Stockton-on-Tees,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	178,417	:	:	186,200 be	:	:	:	189,800 de	:	190,400 be	191,610 bd	192,100 be	192,800 e	193,700 e	194,461	195,242	196,223 b	196,850	:
St. Helens,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	176,848	:	:	176,700 be	:	:	:	176,700 de	:	175,200 be	175,308 bd	175,800 be	176,200 e	176,700 e	177,400	178,034	178,906 b	179,690	:
Basildon,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	165,693	:	:	166,500 be	:	:	:	172,900 de	:	173,400 be	174,497 bd	175,700 be	177,400 e	179,400 e	181,121	182,550	184,124 b	185,171	:
Bournemouth,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	163,440	:	:	163,500 be	:	:	:	164,600 de	:	176,800 be	183,491 bd	185,100 be	187,700 e	190,100 e	192,953	196,087	194,203 b	194,554	:
Bournemouth,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	343,296	347,125	345,193 b	345,887	:
Wycombe,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	162,106	:	:	159,600 be	:	:	:	162,500 de	:	169,600 be	171,644 bd	172,600 be	173,600 e	174,400 e	175,453	176,448	175,061 b	174,700	:
Southend-on-Sea,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	160,269	:	:	159,600 be	:	:	:	163,100 de	:	171,100 be	173,658 bd	174,600 be	175,300 e	176,900 e	178,317	179,251	181,207 b	182,136	:
Southend-on-Sea (greater city),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	259,200 be	261,669 bd	262,600 be	263,700 e	265,600 e	267,357	268,703	270,990 b	272,078	:
Telford and Wrekin,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	158,325	:	:	161,000 be	:	:	:	161,700 de	:	165,300 be	166,641 bd	167,300 be	168,100 e	168,900 e	170,300	172,068	174,748 b	176,784	:
North East Lincolnshire,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	157,974	:	:	157,700 be	:	:	:	157,200 de	:	158,800 be	159,616 bd	159,700 be	159,800 e	159,800 e	159,687	159,357	159,827 b	159,824	:
Chelmsford,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	157,060	:	:	159,800 be	:	:	:	165,400 de	:	166,800 be	168,310 bd	168,900 be	169,800 e	170,900 e	172,136	173,364	175,196 b	176,637	:
Peterborough,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	156,059	:	:	159,100 be	:	:	:	169,800 de	:	180,400 be	183,631 bd	185,400 be	187,400 e	189,400 e	192,221	195,538	197,825 b	199,978	:
Colchester,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	155,795	:	:	160,700 be	:	:	:	174,300 de	:	170,400 be	173,074 bd	174,800 be	176,800 e	179,000 e	182,180	185,287	188,866 b	191,311	:
South Tyneside,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	152,790	:	:	151,500 be	:	:	:	151,400 de	:	148,500 be	148,127 bd	148,300 be	148,500 e	148,600 e	148,706	149,045	149,375 b	149,910	:
Basingstoke and Deane,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	152,578	:	:	155,400 be	:	:	:	161,500 de	:	165,200 be	167,799 bd	169,500 be	171,200 e	172,400 e	173,363	174,222	175,282 b	175,533	:
Bedford,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	147,908	:	:	151,000 be	:	:	:	157,100 de	:	155,700 be	157,479 bd	158,500 be	160,300 e	162,700 e	165,088	167,502	169,363 b	170,768	:
Dundee City,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	141,900 be	:	:	:	142,500 de	:	145,600 be	147,268 bd	147,500 be	148,000 e	148,200 e	148,170	148,240	148,490	148,730	:
Falkirk,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	147,500 be	:	:	:	151,600 de	:	154,700 be	155,990 bd	156,500 be	157,000 e	157,400 e	158,075	158,920	159,755	160,235	:
Reading,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	143,091	:	:	144,000 be	:	:	:	149,200 de	:	153,300 be	155,698 bd	156,200 be	158,200 e	160,000 e	161,282	162,203	162,888 b	163,139	:
Reading (greater city),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	307,700 be	310,078 bd	312,000 be	315,400 e	318,500 e	321,035	323,346	326,922 b	329,619	:
Blackpool,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	142,281	:	:	142,700 be	:	:	:	140,600 de	:	142,700 be	142,065 bd	142,000 be	141,700 e	141,000 e	140,040	139,387	139,927 b	139,588	:
Blackpool,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	249,283	249,390	250,141 b	250,412	:
Maidstone,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	138,945	:	:	142,500 be	:	:	:	146,800 de	:	152,700 be	155,143 bd	156,500 be	158,300 e	160,600 e	163,159	165,430	166,725 b	168,843	:
Poole,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	138,282	:	:	137,000 be	:	:	:	140,700 de	:	146,100 be	147,645 bd	148,300 be	148,800 e	149,600 e	150,343	151,039	150,991 b	151,334	:
Dacorum,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	137,820	:	:	138,000 be	:	:	:	139,900 de	:	142,900 be	144,847 bd	146,000 be	147,500 e	149,000 e	150,546	152,021	152,881 b	153,798	:
Blackburn with Darwen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	137,478	:	:	140,200 be	:	:	:	139,400 de	:	146,600 be	147,489 bd	147,700 be	147,500 e	147,100 e	146,795	146,948	148,617 b	148,857	:
Newport,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	136,994	:	:	139,500 be	:	:	:	139,700 de	:	144,300 be	145,736 bd	145,900 be	146,300 e	146,700 e	147,305	148,459	150,482 b	152,394	:
Middlesbrough,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	134,860	:	:	137,900 be	:	:	:	140,100 de	:	137,500 be	138,412 bd	138,600 be	138,800 e	139,000 e	139,314	139,954	140,483 b	140,592	:
Oxford,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	134,248	:	:	145,100 be	:	:	:	146,500 de	:	146,700 be	151,906 bd	151,400 be	153,700 e	156,400 e	158,786	160,433	154,937 b	154,455	:
Torbay,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	129,706	:	:	132,500 be	:	:	:	134,000 de	:	131,500 be	130,959 bd	131,300 be	131,800 e	132,500 e	133,179	133,628	134,827 b	135,514	:
Preston,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	129,632	:	:	131,000 be	:	:	:	135,300 de	:	138,400 be	140,202 bd	140,300 be	140,500 e	140,400 e	140,877	141,552	141,185 b	141,582	:
Preston (greater city),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	247,100 be	249,259 bd	249,400 be	249,400 e	249,400 e	250,241	251,436	251,453 b	252,046	:
St Albans,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	128,998	:	:	132,200 be	:	:	:	135,200 de	:	138,700 be	140,664 bd	141,600 be	142,500 e	144,000 e	145,316	146,040	147,060 b	147,234	:
Warwick,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	125,932	:	:	136,300 be	:	:	:	138,200 de	:	138,200 be	137,648 bd	138,200 be	138,600 e	138,900 e	139,664	140,171	139,885 b	141,383	:
Newcastle-under-Lyme,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	122,029	:	:	123,000 be	:	:	:	124,200 de	:	123,200 be	123,871 bd	124,000 be	124,700 e	125,600 e	126,549	127,756	128,545 b	129,227	:
Norwich,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	121,554	:	:	125,000 be	:	:	:	137,300 de	:	130,100 be	132,512 bd	133,200 be	135,100 e	136,700 e	138,172	139,957	140,109 b	140,745	:
Slough,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	119,063	:	:	117,600 be	:	:	:	125,800 de	:	136,300 be	140,205 bd	141,300 be	142,400 e	143,800 e	145,155	146,458	148,252 b	148,940	:
Cheshire West and Chester,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	: b	:	:	:	: d	:	329,300 be	329,608 bd	329,900 be	330,600 e	331,600 e	333,064	334,799	336,855 b	339,244	:
Ipswich,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	117,061	:	:	117,400 be	:	:	:	125,400 de	:	130,500 be	133,384 bd	134,100 be	134,600 e	134,800 e	135,283	135,754	138,498 b	138,006	:
Cheltenham,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	110,008	:	:	110,900 be	:	:	:	112,700 de	:	114,400 be	115,732 bd	115,900 be	116,000 e	116,200 e	116,638	117,156	117,173 b	117,109	:
Gloucester,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	109,892	:	:	110,800 be	:	:	:	116,500 de	:	120,000 be	121,688 bd	122,700 be	124,000 e	125,100 e	126,404	127,823	128,719 b	129,184	:
Bracknell Forest,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	109,618	:	:	110,300 be	:	:	:	114,000 de	:	112,400 be	113,205 bd	114,400 be	115,800 e	117,300 e	118,504	119,215	120,054 b	121,027	:
Carlisle,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	100,721	:	:	103,500 be	:	:	:	105,100 de	:	107,000 be	107,524 bd	107,700 be	108,000 e	108,000 e	108,089	108,282	108,331 b	108,331	:
Crawley,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	99,750	:	:	98,700 be	:	:	:	104,000 de	:	104,700 be	106,597 bd	107,700 be	108,600 e	109,400 e	110,374	111,120	111,605 b	112,056	:
Watford,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	95,954	96,588	96,626 b	96,721	:
Gosport,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	84,480	85,018	85,501 b	85,396	:
Eastleigh,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	128,952	129,331	130,022 b	131,159	:
Rushmoor,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	95,319	95,835	95,954 b	95,480	:
Rushmoor,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	183,119	184,062	184,689 b	184,299	:
Rugby,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	102,972	103,629	105,821 b	106,772	:
Corby,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	66,144	67,521	68,918 b	70,184	:
Kettering,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	97,298	98,326	99,600 b	100,759	:
Inverclyde (Greenock),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	79,330	78,960	78,455	:
Renfrewshire (Paisley),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	175,245	176,380	177,310	:
Derry & Strabane Local Government District,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	148,626	148,915	149,336 b	149,808	150,320	150,588	:
Turkey,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	67,803,927	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Ankara,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	3,203,362	:	:	:	3,401,573 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Adana,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	1,130,710	:	:	:	1,197,332 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Antalya,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	603,190	:	:	:	689,665 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Balikesir,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	215,436	:	:	:	229,842 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Bursa,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	1,194,687	:	:	:	1,336,111 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Denizli,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	275,480	:	:	:	300,081 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Diyarbakir,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	545,983	:	:	:	609,465 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Edirne,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	119,298	:	:	:	123,089 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Erzurum,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	361,235	:	:	:	405,733 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Gaziantep,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	853,513	:	:	:	945,804 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Hatay,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	144,910	:	:	:	149,919 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Istanbul,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	8,803,468	:	:	:	9,897,599 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Izmir,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	2,232,265	:	:	:	2,386,759 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Kars,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	78,473	:	:	:	76,420 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Kastamonu,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	64,606	:	:	:	67,102 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Kayseri,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	539,870	:	:	:	572,170 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Kocaeli,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	195,699	:	:	:	191,471 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Konya,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	742,690	:	:	:	829,636 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Malatya,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	381,081	:	:	:	420,920 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Manisa,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	214,345	:	:	:	234,156 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Nevsehir,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	67,864	:	:	:	72,841 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Samsun,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	363,180	:	:	:	379,933 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Siirt,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	98,281	:	:	:	109,271 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Trabzon,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	214,949	:	:	:	230,618 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Van,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	284,464	:	:	:	336,700 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Zonguldak,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	104,276	:	:	:	96,504 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Norge,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	4,503,436	:	:	4,577,457	:	4,640,219	:	4,737,171	4,799,252	4,858,199	4,920,305	4,985,870	5,051,275	:	:	:	:	:	:
Oslo,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	508,726	:	:	521,886	529,846	538,411	548,617	560,484	575,475	586,860	599,230	613,285	623,966	:	:	:	:	:	:
Bergen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	230,948	:	:	237,430	239,209	242,158	244,620	247,746	252,051	256,600	260,392	263,762	267,950	:	:	:	:	:	:
Trondheim,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	150,166	:	:	154,351	156,161	158,613	161,730	165,191	168,257	170,936	173,486	176,348	179,692	:	:	:	:	:	:
Stavanger,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	108,848	:	:	112,405	113,991	115,157	117,315	119,586	121,610	123,850	126,021	127,506	129,191	:	:	:	:	:	:
Kristiansand,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	73,087	:	:	75,280	76,066	76,917	77,840	78,919	80,109	81,295	82,394	83,243	84,476	:	:	:	:	:	:
Tromsø,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	60,086	:	:	61,897	62,558	63,596	64,492	65,286	66,513	67,305	68,239	69,116	70,358	:	:	:	:	:	:
Schweiz/Suisse,Population on the 1st of January, total	6,873,687	:	:	:	:	:	7,105,446	:	:	:	7,288,010	:	:	:	7,490,098	7,527,525	7,576,924	7,638,663	7,709,274	7,801,278	7,877,571	7,870,134 b	7,954,662	8,039,060	8,139,631	8,237,666	8,327,126	:	:	:
Zürich,Population on the 1st of January, total	365,043	:	:	:	:	:	360,826	:	:	:	363,273	:	:	:	364,528	364,977	366,809	370,062	376,815	380,499	382,906	372,857 b	376,990	380,777	384,786	391,359	396,955	:	:	:
Zürich (greater city),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	592,715	599,181	590,548 b	598,986	605,812	613,646	624,768	635,060	:	:	:
Genève,Population on the 1st of January, total	171,042	:	:	:	:	:	176,372	:	:	:	177,964	:	:	:	184,758	185,526	185,028	185,893	185,726	188,068	189,313	187,470 b	188,234	189,033	191,557	194,565	198,072	:	:	:
Genève (greater city),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	730,773	:	:	:	:	:	801,604	:	:	347,161	349,796	349,052 b	350,924	353,162	358,095	364,702	370,858	:	:	:
Basel,Population on the 1st of January, total	178,428	:	:	:	:	:	:	:	:	:	166,558	:	:	:	166,192	166,649	165,803	165,635	165,956	167,528	168,010	163,216 b	164,516	165,566	167,386	168,620	169,916	:	:	:
Basel (greater city),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	312,127	313,418	308,326 b	310,395	312,003	314,852	317,162	319,220	:	:	:
Bern,Population on the 1st of January, total	136,338	:	:	:	:	:	131,046	:	:	:	128,634	:	:	:	127,519	127,352	127,421	127,882	128,345	129,418	130,289	124,381 b	125,681	127,515	128,848	130,015	131,554	:	:	:
Bern (greater city),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	214,858	216,255	211,197 b	212,891	215,337	217,804	219,982	222,217	:	:	:
Lausanne,Population on the 1st of January, total	128,112	:	:	:	:	:	124,560	:	:	:	124,914	:	:	:	126,815	127,187	127,593	128,225	129,265	130,721	133,269	127,821 b	129,383	130,421	132,788	133,897	135,629	:	:	:
Lausanne (greater city),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	216,532	220,403	215,621 b	219,235	220,846	224,379	226,581	229,425	:	:	:
Winterthur,Population on the 1st of January, total	86,959	:	:	:	:	:	:	:	:	:	90,483	:	:	:	94,003	95,482	96,145	97,732	99,304	100,977	101,745	101,308 b	103,075	104,468	105,676	:	:	:	:	:
St. Gallen,Population on the 1st of January, total	75,237	:	:	:	:	:	:	:	:	:	72,626	:	:	:	74,213	73,498	73,177	73,686	74,105	74,996	75,802	72,959 b	73,505	74,111	74,581	75,310	75,538	:	:	:
Luzern,Population on the 1st of January, total	76,466	:	:	:	:	:	:	:	:	:	75,425	:	:	:	76,436	76,409	76,727	77,327	78,050	78,875	79,464	77,491 b	78,093	79,478	80,501	81,057	81,295	:	:	:
Luzern (greater city),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	153,165	154,442	152,408 b	153,850	155,775	157,412	158,637	159,189	:	:	:
